song_name,artist,genre,tags,song_length_sec,tempo_bpm,popularity_score,time_of_day,is_explicit,user_liked_previous_song,skipped
Leijonan Metsästys,Fröbelin Palikat,children's music,"finnish, Psychedelic Rock, Stoner Rock, lastenlaulu, Acid Rock",80,128.08133988669553,5,night,0,1,0
Pokerkväll i Vårby Gård,Florence Valentin,deep swedish indie pop,"indie, pop",169,106.1898961038095,6,evening,1,1,0
Gamblers,Spanish Bombs,alternative hardcore,hardcore,199,122.54041236054115,95,night,0,1,0
Nice Try,Flowhertz,deep liquid,,160,98.7942825464253,95,night,1,0,0
Time for a Change,Craig Lyons,indie pop rock,,275,118.33160907976948,24,evening,0,0,1
After the Moment,Craft Spells,indie psych-rock,"indie pop, summer, dream pop",152,106.44138537802816,32,afternoon,0,0,0
Whiskey In The Jar,"David Grisman, Jerry Garcia",old-time,"mother american night, folk, best tracks, bluegrass-folk, guitar virtuoso",192,108.9670508611535,54,evening,1,0,0
No Place Like Home,Laura Marano,teen pop,,215,138.54139762815657,57,evening,1,0,0
I'm Still Here,Lucky Peterson,country blues,blues,267,136.36965180891403,6,night,0,0,0
Throw Myself A Party,"Cashmere Cat, Starrah, 2 Chainz, Tory Lanez",downtempo,,152,129.13707181360766,56,evening,0,1,0
Change (In the House of Flies),Deftones,nu metal,"metal, rock, alternative",256,103.61530852991132,11,afternoon,0,1,0
Thinking of You,Lord Echo,afrobeat,"reggae, Gilles Peterson, soul",210,115.25387325457795,15,evening,0,0,0
Slaya Inc.,Deka 187,doomcore,,170,138.19646549968775,79,afternoon,0,1,0
Beautiful Problem,"MOD SUN, gnash, Maty Noyes",underground pop rap,,228,122.12575370459857,42,afternoon,0,0,0
Wake Within Me,Aaron Hale,kc indie,,217,154.7899430997254,99,night,1,1,0
Caminemos (Caminhemos),Orquestra Romântica Brasileira,ballroom,,185,125.89976759091556,76,morning,1,1,0
手をつなごう,YM,vocaloid,,212,122.88073674735048,6,morning,1,1,0
High,Royal Headache,australian alternative rock,,194,115.36325303696248,99,night,0,1,0
This Old Man,Tykes Trax,children's music,,214,122.00311357173425,50,evening,0,1,0
Fire Burning In My Heart - Original Mix,"Swedish Revolution, Matthew Parker",christian dance,,236,117.71295245429184,72,night,0,1,0
That Certain Female,Charlie Feathers,rockabilly,"rockabilly, Soundtrack",273,130.62163015032883,31,afternoon,1,0,0
36 Oz.,"Skeme, Chris Brown",west coast trap,,160,134.35053475191876,74,morning,1,0,0
Dead Girls,Odious,deep symphonic black metal,,295,108.21015809238077,7,night,0,1,0
Three English Songs for Voice & Instruments,Musica Antiqua,early music,"early music, baroque",131,100.03150569663332,96,evening,0,0,0
Jag säger det nu,"Martin Ekman, Cajsa Siik",swedish folk pop,,203,92.45691940345056,86,night,1,1,0
I Don't Know How To Get Along Without The Lord,Rev. A. Johnson,deep delta blues,,233,127.61986990368815,88,morning,1,0,0
Creepin' Up Slowly,Taxiride,australian pop,"australian, my summer down under, rock, pop, alternative",221,103.4495009073919,71,night,1,1,0
Move - Dj Purple Rabbit breaks mix,Nutkaze,experimental dubstep,,185,87.70664110571275,44,night,0,0,0
Oinseach,Saccade,irish rock,,201,125.82867906796446,85,morning,0,1,0
Crave,Marc Dorsey,new jack swing,"r and b, I said I Love You, R, sage, 90s r and b",190,157.39499276149186,58,afternoon,0,0,0
Only You And Me Tonight,Tommy G And Stormy Weather,swamp pop,,186,119.9089363269016,3,afternoon,1,1,0
Africa Dub,"Jah Shaka, The Twinkle Brothers",uk dub,,243,132.57736161677462,66,morning,1,0,0
Dia Especial (Ao Vivo),Cidadão Quem,rock gaucho,mpb,224,121.22744037821349,28,night,0,1,1
Recognize,Man Automatic,modern downshift,,182,118.51665520213288,28,morning,0,1,0
Merlin's Hat,Caroline Dale,deep cello,,245,133.78614724481653,97,afternoon,1,1,0
Tricky To The Beat,The Northern Terrorrizers,terrorcore,,222,115.64588183717024,97,evening,0,0,0
B2U (feat. Ian Everson) - Original Mix,"Boombox Cartel, Ian Everson",electronic trap,,242,124.01088471107856,27,night,1,0,0
Bros,Wolf Alice,alt-indie rock,"indie rock, somafm, alternative rock",235,124.8254670929402,76,afternoon,1,0,0
Can't Stop Now,White Arrows,indie psych-rock,"2010s, rock, american, Cant Stop, electronic rock",176,109.97864319535428,78,night,0,1,0
it takes the capes,Core of the Coalman,rock noise,prda,187,134.88063524304783,86,morning,1,0,0
Para Tati - Volveré,Antologia,andean,,239,117.37560364956887,43,evening,0,1,0
Ghosting,Mother Mother,canadian indie,"indie, Canadian",234,108.66382260760732,89,morning,1,0,0
Dodgem Dude,Michael Moorcock & the Deep Fix,deep space rock,,209,128.04764765355606,3,evening,1,0,0
Roaming In The Gloaming,Harry Lauder,traditional scottish folk,,214,106.52298027313444,89,night,0,0,0
3ème mouvement,Clearlight,symphonic rock,,261,120.42271736053692,8,night,1,0,0
Oktober,Bersarin Quartett,fourth world,"ambient, downtempo",186,119.86321505033696,4,morning,0,1,0
Sing (Half Dreaming),Caucus,indie shoegaze,,231,136.28843348747367,55,evening,0,0,0
Yes We Can,World Saxophone Quartet,free improvisation,,201,127.12047349319928,95,evening,1,0,1
A Cleansing Prayer,Vials of Wrath,unblack metal,,201,119.62459561882284,83,night,0,1,0
Dump Days,Scott Ferguson,deep soul house,"tech house, deep house",253,132.2664944880043,49,morning,0,1,0
Remind Me Who I Am,Jason Gray,anthem worship,"christian, 20 the countdown magazine, ucb uk",243,140.8531132352597,74,evening,0,0,0
A Whole New World,Unzane,puerto rican rock,,242,128.36715459527792,14,night,0,0,0
Show Me Love,Rose Francois,smooth urban r&b,,262,120.15528929765073,31,afternoon,0,1,0
Alone Again Or - 2015 Remastered Version,Love,british blues,,210,100.3224565147476,27,morning,0,1,1
Hippomania,English Heretic,hauntology,,237,104.02329505386942,21,afternoon,1,1,0
Moves Like Sims,Winterspringpro,wrock,,197,115.42162943468,16,morning,0,0,0
Happiness - OOOD Remix,"Forufreezer, OOOD",breaks,,222,110.85731696761076,58,night,1,0,0
You're Gonna Miss This,Trace Adkins,redneck,"country, trace adkins",204,117.19543045521831,89,evening,1,0,0
Wolves And Ravens,Superkings,leeds indie,,213,120.8497488734566,70,evening,0,1,0
One Side - Hmmlmmlum,Cancerous Growth,deep hardcore punk,,233,127.94539131535096,56,evening,1,1,0
Way We Won't,Grandaddy,freak folk,"somafm, Bagel",177,118.94251832911362,25,morning,1,1,0
In the Car,Warm Brew,underground pop rap,,293,127.29752465739304,24,night,0,0,0
Outskirts of Heaven,Craig Campbell,redneck,,169,120.9671162221518,9,afternoon,0,1,0
Restiamo qui,"Kenta, Weddy, Julia Lenti",classic swedish pop,,161,90.36800150469192,44,night,0,0,0
Mi Nombre Es Mexico,Mariachi Aztlan,mariachi,,256,105.90996909271868,82,afternoon,1,1,0
Leaving On A Jet Plane,Sophie Barker,etherpop,"cover, Sophie Barker, calm, Great Covers, chill",241,117.83868666417575,10,morning,1,0,0
Doreen,Slingshot Dakota,indie punk,,234,101.8545788573834,76,morning,0,0,0
Canción Final 2014,Don Timoteo,rio de la plata,,235,128.99893094994306,52,afternoon,0,1,0
Get Better John,Mux Mool,glitch,"electronic, instrumental, funk",209,142.96126248515546,71,afternoon,1,0,0
Two Worlds,Resonant Drift,deep ambient,"somafm, dronezone",174,138.28142777545975,67,afternoon,1,1,0
Line Up,Lennie Tristano,hard bop,"jazz, jazz piano",213,116.79835693604689,94,night,1,0,0
Fololo rosa,Johnny Johnny,african gospel,,182,142.36089205274928,27,afternoon,1,1,0
Coffin Rocket,Dead Vampires,horror punk,,249,122.23001185803167,74,morning,0,1,0
Let Me Be The One,Jimmy Bondoc,pinoy alternative,Tagalog songs,204,114.9437104332294,64,morning,1,0,0
Bliv Kvar Hos Mig (Psalm 189),Anders Widmark Trio,swedish jazz,,176,110.79896004688592,48,evening,1,1,0
10 Minutes,Jaysolo,deep southern trap,,197,115.46295470267808,46,afternoon,1,0,0
"Dolly Baby, aka Song Service - A Solo Blues Concert",Hamiet Bluiett,avant-garde jazz,,226,114.17734772188156,51,night,1,1,0
No Return (Ott Remix),Terra Nine,ambient psychill,excellent,187,122.55624333563232,87,night,0,1,0
"Stealin', Stealin' - Remastered 2002",Memphis Jug Band,jug band,,177,122.40860971574796,53,night,0,1,0
Aiming For Your Head,Betchadupa,nz indie,"indie, blue water high, rock, ost",219,120.0456903023012,59,evening,1,1,0
Feed Jake,Pirates Of The Mississippi,country,"country, Favorite, austin",219,126.55407254619524,56,morning,1,0,1
Kultakalat,Paukkumaissi,musiikkia lapsille,,189,137.85969412179512,46,night,0,1,0
Gonna Give You Good Lovin',TJ Hooker-Taylor,southern soul blues,,191,134.2433120316199,30,morning,0,1,0
If I Had The Copyright On The Word F***,Carla Ulbrich,geek rock,law,219,97.72653047325144,45,evening,1,0,0
Alone (It's Not So Bad),I Am Not Lefthanded,chicago indie,,152,81.69118297647069,25,afternoon,1,0,0
Beautiful Day,All Bossa Too,coverchill,,153,134.0147986685891,4,afternoon,0,0,0
Don't Know What You Got (Till It's Gone),Cinderella,glam metal,"80s, hard rock",181,99.49681952376868,83,afternoon,0,0,0
Heude - Original Mix,Eggippa Fifauter,swiss hip hop,,201,116.62851897160976,51,night,0,0,0
She's Royal,Tarrus Riley,roots reggae,"reggae, lovers rock",222,102.4483046091096,74,afternoon,0,0,0
Psalmus 109. dixit dominus,"Claudio Monteverdi, Rinaldo Alessandrini",baroque,,269,92.9702934362997,53,night,0,1,0
Explicit,Destroy by Design,thrash-groove metal,,244,128.12194092307183,32,evening,0,0,0
Non ero io,Fred De Palma,italian arena pop,,203,131.3873274045397,49,evening,1,1,0
En Eftermiddag,David Urwitz,swedish folk pop,,209,111.3523439890992,37,night,0,0,0
The Last Words Of David,The Dessoff Choirs,monastic,,169,81.13436561782635,26,morning,0,1,0
Mr. Walking Drugstore Man,"Speed, Glue & Shinki",japanese psychedelic,"heavy, psychedelic, Psychedelic Rock, 60s psychedelic and garage, psychedelic blues rock",209,111.80633327621275,97,afternoon,0,1,0
Unnaale Unnaale,"Karthik, Krish, Harini",filmi,,198,125.8770600810382,14,afternoon,0,1,0
Still Life,The Horrors,shoegaze,"post-punk, indie rock",222,97.81632646838808,95,afternoon,1,0,0
Fiction,Beast,k-pop,"beast, k-pop",176,122.75039879668734,60,night,1,0,1
Destroying the Seeds of Karma,Raventale,funeral doom,,230,119.77035226240508,20,evening,0,0,0
Lay With Me,The Flying Eyes,retro metal,"Psychedelic Rock, revival of jim morrison",271,128.6893724940163,45,afternoon,1,0,0
Svart Vitt,Trevolt,swedish pop punk,,205,121.79370552621228,68,evening,1,1,0
Si tu n'es plus là,Gage,french pop,,226,105.40396588677666,5,afternoon,1,0,0
後來,Rene Liu,classic chinese pop,"yahoo top 100 c-pop artist, cantonese, liuruoying, falling in love, Taiwan POP",237,137.94857252496735,37,afternoon,1,1,0
Cold Sweat,Cold Sweat,slash punk,,193,117.62205640459544,61,night,1,1,0
Everything Goes,R3SPAWN,sky room,,218,119.59043190735102,85,morning,1,0,0
Slayer,Brainbombs,noise punk,"noise rock, psychedelic punk, investigate",210,106.00098061390206,61,night,0,0,0
Orgazp,Subsonic Factories,deep deep tech house,,213,113.35076623212734,81,afternoon,0,0,0
Przesiąknięci Dźwiękiem,"Bez Cenzury, Mercedresu, Foster",polish hip hop,,179,106.72795928959648,77,afternoon,0,1,0
Two Worlds,Josh Strickland,deep dance pop,Josh Strickland- Two worlds,210,117.40580910114866,73,morning,0,0,0
Candiru,Asphyx,black thrash,"death metal, death fucking metal, bang your fucking head",229,145.67562720213516,45,evening,0,1,0
Scream Of The Butterfly,Coronatus,gothic symphonic metal,"Gothic Metal, symphonic metal",268,99.42148285602966,12,evening,1,0,0
Emerald,THE NOVEMBERS,j-rock,,248,95.79657903184888,94,afternoon,0,1,0
Biba Toriko,Naoto Inti Raymi,j-rap,,296,142.06755491240412,93,evening,0,0,0
Freedom Is Coming,"Fjedur, Vred Fred",barbershop,,179,116.860144842722,2,afternoon,1,0,0
Pou Na Vro Mia Na Sou Miazi,Maraveyas ilegál,laiko,,244,109.96390892010125,93,morning,1,1,0
Dance Little Sister - T.T.D.'s Remix,Terence Trent D'Arby,new romantic,funk,217,135.59857031094114,5,morning,0,0,0
Reefer Head Woman,Jazz Gillum,harmonica blues,"Blues Harmonica Greats, blues",297,110.91576690394704,92,afternoon,1,0,0
Mike Holmgren Has Come to Cleveland to Save the Browns!,The Cleveland Sports Band,comedy rock,,177,147.39014570320404,7,morning,1,0,0
Laio - Dance Version - Deutsch,Rosanna Rocci,discofox,,176,130.16888807008905,43,night,1,0,0
A Spartan Rises,"Paul Lipson, Lennie Moore, Tom Salta, Brian Trifon, Brian Lee White",video game music,,186,112.68132887781448,32,night,1,0,0
Scwm,Skimatix,footwork,,125,152.35962319898255,80,morning,0,0,0
Coqueteos,Chiara String Quartet,string quartet,,188,110.91427615494992,74,afternoon,1,0,1
God Natt Oslo,Lillebjørn Nilsen,classic norwegian pop,singersongwriter,179,131.1314305801396,76,afternoon,0,1,0
Lip 2 Lip,9MUSES A,k-pop,c korean,216,124.48938870609736,49,morning,0,1,0
Killer Girl,Linda Bengtzing,swedish idol pop,,223,139.52611934098198,10,evening,1,0,0
Tebadé,Moussa Bilalan Ag Ganta,desert blues,,285,143.4226679509028,94,night,1,0,0
Kaliyugavaradana,U. Srinivas,indian classical,"Indian, world",248,120.4800622359865,27,evening,1,0,0
Love Don't Live Here Anymore,Magnolia Chop,bounce,,186,108.69873194480724,69,afternoon,0,1,0
Moving of Energy,"Oluyemi Thomas, Ijeoma Thomas, Michael Bisio, Kenn Thomas",modern free jazz,,174,126.89958214408676,40,afternoon,1,1,0
Lightning Slingers and Dead Ringers: I. With enthusiasm and a litte violence,"Annie Gosfield, Lisa Moore",minimal,,229,109.8342694537184,15,evening,1,0,0
For Better Or For Worse,Brother Firetribe,finnish metal,2010s hard rock,157,150.20080871289937,67,morning,1,1,0
Solsång (Inspelad för Tonkraft 1976),"Tomas Wiehe, Tomas Forsell",swedish prog,,283,122.04802996624106,98,evening,1,0,0
Dream - Boehm Remix,"Autograf, Boehm",deep tropical house,,257,114.52017673031835,47,evening,1,0,0
Song Of The Damned,Nomar Slevik,chip hop,,191,122.77020458797362,55,night,0,0,0
Ljóðmynd,Terji & Føstufressar,faroese pop,,141,99.79310565705455,63,night,1,0,0
Turn Down the Lights,Benny Page,liquid funk,"Drum and bass, jungle",264,105.42578942234024,58,evening,1,1,0
One Great Day...,"Ellery Eskelin, Andrea Parkins, Jim Black",avant-garde jazz,,205,138.0062086191664,89,evening,1,1,0
Landscape -digital limited-,akira kosemura + haruka nakamura,j-ambient,,259,110.14658581542906,61,afternoon,0,0,0
Swamp Fever,John Cameron,classic soundtrack,"Porieux-loved, Library, KPM",146,104.2963352597709,75,night,1,1,0
Phenomena 2012,Gundis,nordic house,,186,128.0497912879093,10,night,0,1,0
Tales From The River,"Big City Indians, The White Buffalo, White",native american,,210,137.78556231994494,100,afternoon,0,0,0
Schlaflied - Victor Flowers RMX,Liedfett,deep german pop rock,,211,130.784299659976,88,morning,1,1,0
Desire,Gene Loves Jezebel,welsh rock,"new wave, 80s",191,134.94071528708724,17,night,1,0,0
Contemplating Maitreya,Margot Reisinger,meditation,"yoga, plinio02, A Indian, plinio3, aahhh",234,108.64807367145808,18,night,1,0,0
Sehnsucht nach dir,Luigi Campese,discofox,,167,98.67283999887236,86,morning,0,0,0
Immortal Love - Original Mix,"Maison & Dragen, Toni Nielson",deep uplifting trance,,204,142.5200047793323,54,night,0,0,0
Passion for the Future,Manufacture,new beat,"electro-industrial, old-school ebm, ebm",214,115.15980241736796,81,night,0,1,0
Dat Dere,"Oscar Brown, Jr.",soul jazz,"jazz, double-ender 5, crisp 60s acoustic jazz",230,116.23750475317428,25,morning,0,0,0
Torrecillo Del Leal,Miguel De La Bastide,rumba,"Flamenco, guitar",238,139.92291212773586,5,morning,0,1,1
João Sem Medo,Pardinho & Pardal,sertanejo tradicional,,165,128.3434501410099,3,evening,0,0,0
Voltage Controlled Time,Petter B,re:techno,,148,126.83831658122412,28,afternoon,1,0,0
Doktor Kosmos lägger upp en mediestrategi,Doktor Kosmos,swedish punk,pop,261,152.47503517351626,58,afternoon,1,1,0
The Path to Somewhere,"Søren Bebe Trio, Søren Bebe, Anders Mogensen, Kasper Tagel",danish jazz,,223,110.34722654429784,97,morning,0,0,0
Sunset Gun - Full Monty Sunny Orb Up Mix,The Damage Manual,industrial,,180,133.91760192121856,16,morning,1,1,0
The Blues Are Out of Town,Laverne Butler,deep vocal jazz,"Jazz after midnight, vocal jazz, jazz vocal, Blues Bar",272,120.85519687345626,42,night,1,1,0
Fight,Ghost Of Gloria,modern downshift,"Discoverockult, eric burdon",214,124.02888418294886,79,evening,0,0,0
Cafè (Cosa hai messo nel caffè),Francesca Sortino,italian jazz,,257,142.92702639618798,65,evening,0,0,1
Hard Way - Original Mix,Plastic Shell,breaks,,212,127.61753634434436,33,morning,1,0,0
Let's Dance (Make Your Body Move),West Street Mob,old school hip hop,"synttydisko, funk",292,128.0744411857445,7,night,0,0,0
Smoking in My Chanklas,"Low G, Baby Bash, Rasheed",chicano rap,,280,136.08761005964703,12,night,0,0,0
Im The One Leaving You,Bend Sinister,vancouver indie,,200,114.52570905685673,7,afternoon,1,0,0
Muxicas No Ceo De Belen,Muxicas,spanish folk,,248,107.4118549899149,93,afternoon,0,1,0
Gild the Lily,The Shaking Sensations,instrumental post rock,post-rock,235,104.3278620896845,95,night,1,1,0
O Lado Brilhante da Lua,Tonho Crocco,rock gaucho,,264,90.50465115935998,99,afternoon,1,0,0
Melting Sun II: Cherry Quartz,Lantlôs,blackgaze,"Post-Metal, post-rock, doom metal",171,150.84310694910482,93,morning,1,1,0
The Night,Paul Murphy,ninja,,237,103.45187451417476,64,night,1,1,0
Anything New,Last to Show First to Go,stl indie,,252,116.68119564621342,42,afternoon,1,0,1
Z Goričkega V Piran,Vlado Kreslin,slovenian rock,,139,115.8478005016662,38,evening,0,0,0
Modern Girl,Sleater-Kinney,noise pop,"indie, female vocalists",162,124.61110046713652,80,night,0,1,0
Dans nos esprits,"Lacraps, Davodka",french hip hop,,128,132.23605818808946,58,night,0,0,1
This One Is for the Ladies and Gents (feat. Miles Bonny),"Tall Black Guy, Miles Bonny",indie jazz,,199,132.90710232539618,83,evening,0,1,0
Quasimdo Tango,Ghédalia Tazartès,minimal,,238,111.25383842146591,87,morning,1,0,0
Amli omk kif ommi,Abdelaziz Stati,maghreb,,270,117.49317429320382,85,evening,1,1,0
Here In Spirit,Jim James,louisville indie,fallon,212,124.2386992573245,92,night,0,1,0
Middle of Nowhere - Cristian R Remix,Paul Key,deep progressive house,,275,116.2696331072468,85,morning,1,1,0
Lil Wayne - Instrumental,Streets,beats,,154,144.11018364029988,43,afternoon,0,1,0
Relinquish,Bloodwire,ethereal gothic,"Driving, bengt, landscape, look into, moving music",141,127.36462427457376,8,afternoon,0,0,0
Sherni,Hard Kaur,indian pop,,207,131.02316679074727,36,afternoon,0,0,0
Fy Fan Va Stek,De Vet Du,swedish pop,bubblegum bass,225,129.9432190300112,73,night,1,1,0
La Bottega Del Rigattiere,Semiramis,italian progressive rock,"symphonic progressive rock, italian symphonic prog, Progressive rock, 70s, symphonic prog",208,137.6021078622799,35,evening,1,1,0
Samme Gamle,Brutal Kuk,norwegian rock,,127,122.7153233805556,100,morning,1,0,0
Temper Like A Hand Grenade,Above Them,deep orgcore,,206,100.5475207806623,91,afternoon,1,0,0
Odiare - Original,Syria,italian pop,"2014, love at first listen, flawless",157,125.99531927628962,27,morning,0,1,0
Kik,Ghost Fish,ethereal gothic,,236,110.22964659312257,41,night,1,1,0
War of Words,Mindcollision,rap metalcore,,224,112.07074977375365,42,afternoon,1,1,0
Mix colegiala,Dilbert Aguilar,peruvian rock,,172,128.7954602813264,84,night,1,1,0
Free Food / One Men Striper,Karen Gwyer,mandible,chillout,189,138.57424607150455,87,evening,0,1,0
"Why Didn’t You Take That, Too?",Elton Britt,cowboy western,causation,167,120.31907365104092,41,night,0,0,0
Tentang Seseorang,Anda,indonesian indie,,207,124.63249518898444,65,night,1,1,0
Not To Fall Again,Linda Leen & Arnis Mednis,latvian pop,,248,145.53322416952858,54,evening,1,0,0
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,british blues,"60s, classic rock",170,123.61129769232852,71,morning,1,0,0
Und die Adler der Cordilleren,Bergfeuer,zillertal,"volksmusik, Schlager",230,159.02524671270592,47,evening,1,0,0
Red,Laura Welsh,vapor pop,,188,128.48264468447317,90,evening,0,1,0
Visita a Nossa Senhora Aparecida,Moreno E Moreninho,sertanejo tradicional,,178,93.58855861266274,21,night,1,0,1
Mellow Stuff,Lil Johnson,vintage swing,"blues, friendsofthekingofrummelpop, i want back to the 30s",205,131.30012431656797,100,morning,1,0,0
Telescope (feat. K.Flay),"Golden Features, K.Flay",deep australian indie,,168,125.71737577324168,26,afternoon,1,0,0
Golden Chain,The Tarantula Waltz,deep swedish indie pop,,187,139.34629131124117,92,evening,0,0,0
Trouble You Cause,Guther,electronica,"interesting, hmm sodermanland",162,130.09772026904938,66,morning,0,1,0
Erotevmenos,Giorgos Giannias,laiko,,288,117.9231602402434,12,evening,1,1,0
HEY BABY - Radio Mix,DJ Ötzi,europop,"cover, Biertent, dance, 2001, Deutsche Schlager",211,101.63552645565952,44,evening,1,0,0
Refugees Session 2,Ndala Kasheba,benga,,182,116.86465114070964,9,evening,1,0,0
Wake Up And Smell The Millennium,Nobody,wonky,"abstract hip-hop, Hip-Hop, metro downtempo trip-hop lounge",218,107.2421931868605,99,evening,1,1,0
Mf Mutha Fucca,Industrial Hardcore,terrorcore,,205,111.29214825292917,8,night,1,1,0
Anthem,zebrahead,emo,"punk rock, zebrahead",201,128.82867606630916,53,morning,0,1,0
Dance of Death,Andrew Bird,chicago indie,"alternative-progressive, loved",234,145.0485675652711,26,morning,0,0,0
Matches (feat. Aaron Richards),"Ephixa, Stephen Walking, Aaron Richards",complextro,,240,125.92007294734472,33,morning,0,1,0
You Can't Hurry Love,The Supremes,memphis soul,"motown, soul",188,102.06175406947224,0,evening,1,0,0
Hurts so Good,Adrian Sieber,swiss rock,,186,126.66904002330212,31,night,0,0,0
Where You At,The Bohicas,alt-indie rock,"2015 single, british, bbc radio1 playlist 2015, indie rock",198,137.94947229968477,88,evening,0,1,0
Taking Refuge By Lama Tcheupel - Monk At The Monastery Of Mirik,Bokar Rimpoche,tibetan,,117,110.85325643520926,92,evening,0,0,0
Dear Future Loser,Roy Montgomery,japanese psychedelic,,149,117.98974249990624,70,morning,1,1,0
Chica de Humo,424,tico,,264,120.22032292093796,66,evening,1,0,0
Abolish Police,Final Conflict,crust punk,police and thieves,275,108.2265253037664,83,afternoon,0,1,0
En Bolá de Lah Laah Laaah,Chystemc,rap chileno,"DE, laaah, Lah, laah, EN",200,129.7242065076579,19,evening,1,0,0
Dear Jessie,Rollergirl,bubblegum dance,"dance, eurodance",233,118.18577777088328,93,afternoon,0,0,0
6:10,Sko/Torp,dansktop,,222,126.2929866586054,34,evening,0,1,0
Aseman Ham Zamin Mikhord,Chaartaar,persian pop,,333,106.6876173329685,98,night,0,1,0
13. Johnny Vai À Guerra (Outra Vez),Plebe Rude,brazilian punk,,254,113.43812549514884,90,night,0,1,0
Springen Nondeju,Snollebollekes,levenslied,,204,130.83572036741657,89,morning,1,1,0
Captivate Us,Watermark,alternative ccm,"Wonderful Women, Godly Girls, Heavenly Manna Christian Praise And Worship, Christian worship",171,114.40750271862348,77,evening,1,0,0
The Barney Fade - Future Loop Foundation Remix,Fragie State,deep chill-out,,145,145.90445776850106,16,afternoon,1,1,0
Forty One Days,Boozoo Chavis,swamp pop,"bluesrock, seen live, cajun",218,114.00545721578096,17,afternoon,1,1,1
Rising the Tension,Talvekoidik,abstract idm,,179,123.37027088627828,44,evening,0,0,1
Epinephrine,Genuflect,rap rock,"Nu Metal, rapcore, fav",153,133.98886247809634,92,afternoon,1,1,0
Tout petit,Les Youles,zouglou,"afrocaribetv, zouglou",184,98.72451400600453,83,night,0,1,0
"Inezita, a Pioneira","Cacique, Paje",peruvian rock,,166,93.58786782028837,52,afternoon,1,0,0
Gloom Despair and Agony,Downright Hateful,hatecore,,277,97.11515528144858,90,morning,1,1,0
Madrigal Stanzas / Allegro Moderato,"Alain Marion, Marc-André Hamelin, Bohuslav Martinů, Angèle Dubeau",classical flute,,245,138.93876155140774,81,night,1,1,0
Bam Bam,Sister Nancy,reggae,,209,111.72212781161328,67,night,0,1,1
Taht Kurmuşsun Kalbime,Esengül,turkish classical,,269,158.37298928502378,64,night,0,1,0
I Know How The Moon Must Feel,Dayna Manning,ectofolk,,213,111.53628602013916,0,evening,0,1,1
Calm Before the Storm,Truckfighters,garage rock,,175,122.76826954795555,57,evening,0,1,0
Worried Life Blues,Big Maceo,louisiana blues,"blues, piano",270,143.13164928851813,25,night,1,0,0
Whoopee Blues,King Solomon Hill,traditional blues,"double-ender 4, country blues, old timey, delta blues, blues",231,150.09139332238684,19,evening,0,1,0
Down in the Boondocks,Billy Joe Royal,swamp pop,"60s, oldies",168,150.92255364954596,86,afternoon,0,0,0
Travesty TV,The Chaos Agent,heavy alternative,,202,138.12549345889713,9,evening,1,0,0
Ten Days,Traditions,deep pop punk,,174,135.36093788717193,58,evening,1,0,0
Perfect - UKG Mix,"Ramsey & Fen, Gabriella",speed garage,,154,128.88790423801774,74,night,0,0,0
One Last Drink,Enter The Haggis,celtic punk,"celtic rock, celtic",247,131.67541614249956,40,morning,1,1,0
You Know - Radio Edit,"Zeds Dead, Oliver Heldens",bass trap,,286,111.732214255072,4,morning,0,1,0
Charlie Knows,New Bone,polish jazz,,154,107.7270167486654,64,morning,1,1,0
Gun In Hand,Stutterfly,screamo,"screamo, rock, metalcore",232,119.94938313883571,16,afternoon,0,0,0
Follow My Love,Troubadour Dali,psych gaze,,183,117.44723066212607,21,evening,0,1,0
Rei da Glória / Lembranças / O Amor Nunca Perde - Ao Vivo,"JESSYCA, Marquinhos Gomes",brazilian gospel,,190,113.20157926009088,97,morning,0,1,1
Love Song,Tesla,rock,"hard rock, rock",186,130.44581171185072,40,night,0,1,0
Closer,Tegan and Sara,indietronica,"indie pop, pop",175,134.32957812855767,92,morning,0,0,0
The Pillars of Ruin,"I, Valiance",brutal deathcore,,211,121.32610329437772,67,morning,1,0,0
Periscope,Andromeda,progressive metal,"Progressive metal, Sweden, metal",176,142.1629512158289,68,evening,0,1,0
Just Like Me (feat. Stza Crack),"Chewing on Tinfoil, Stza Crack",folk punk,,220,102.87466328799742,10,evening,0,0,0
Dan Bernyanyilah,Musikimia,indonesian indie,musikimia,207,117.09510811080423,55,evening,0,0,0
I Hate My Job,JbDubs,strut,,200,109.24766519095792,50,afternoon,0,1,0
Yummy Yummy Yummy,Thanksgiving Kids,kids dance party,,173,92.0019507439041,20,afternoon,0,0,0
The Weight,Circus Maximus,progressive metal,,186,118.7597897123595,98,morning,1,0,0
Una Citta' Per Cantare,Ron,italian pop,"cover, Voci maschili, Cantautore, italiana, RON",240,118.17378737425076,75,evening,1,1,1
לב חופשי,מוקי,mizrahi,,230,142.70174614863197,25,morning,0,0,1
Today Starts Now,Mari Boine,yoik,,170,129.46217526832166,18,night,1,0,0
Fascination,"Hugo Strasser, Heinrich Haas Bar Combo",ballroom,,213,104.63719763506192,59,night,0,0,0
Asylum,Jus Jack,progressive electro house,,240,147.81138849501284,70,evening,1,0,0
Fuzzy,Radiosofa,french rock,,143,138.3155054328803,46,evening,1,0,0
Dirty House Music (Peter K Jackin Electro Radio Mix),Linda O,deep vocal house,,231,128.73146555202925,70,night,0,0,0
